DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Benzo[b,j]fluoranthene",,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Benzo[b,j]fluoranthene",,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[e]pyrene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[e]pyrene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[ghi]perylene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[ghi]perylene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[k]fluoranthene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[k]fluoranthene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Dibenz[a,h]anthracene",,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Dibenz[a,h]anthracene",,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Fluoranthene,,Extractable,0.01,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Fluoranthene,,Extractable,0.01,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Fluorene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Fluorene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Indeno[1,2,3-cd]pyrene",,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Indeno[1,2,3-cd]pyrene",,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Moisture content,,,19,%,Actual,,,,,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Moisture content,,,19,%,Actual,,,,,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Naphthalene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Naphthalene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Phenanthrene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Phenanthrene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Pyrene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,HC-NS,Hazen Creek Nearshore,45.257228,-66.022186,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Pyrene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthene,,Extractable,0.02,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthene,,Extractable,0.02,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthylene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthylene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Anthracene,,Extractable,0.06,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Anthracene,,Extractable,0.06,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benz[a]anthracene,,Extractable,0.14,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benz[a]anthracene,,Extractable,0.14,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[a]pyrene,,Extractable,0.11,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[a]pyrene,,Extractable,0.11,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Benzo[b,j]fluoranthene",,Extractable,0.1,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Benzo[b,j]fluoranthene",,Extractable,0.1,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[e]pyrene,,Extractable,0.3,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[e]pyrene,,Extractable,0.3,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[ghi]perylene,,Extractable,0.27,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[ghi]perylene,,Extractable,0.27,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[k]fluoranthene,,Extractable,0.04,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benzo[k]fluoranthene,,Extractable,0.04,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Dibenz[a,h]anthracene",,Extractable,0.04,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Dibenz[a,h]anthracene",,Extractable,0.04,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Fluoranthene,,Extractable,0.22,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Fluoranthene,,Extractable,0.22,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Fluorene,,Extractable,0.02,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Fluorene,,Extractable,0.02,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Indeno[1,2,3-cd]pyrene",,Extractable,0.1,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,"Indeno[1,2,3-cd]pyrene",,Extractable,0.1,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Moisture content,,,66,%,Actual,,,,,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Moisture content,,,66,%,Actual,,,,,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Naphthalene,,Extractable,0.01,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Naphthalene,,Extractable,0.01,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Phenanthrene,,Extractable,0.14,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Phenanthrene,,Extractable,0.14,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Pyrene,,Extractable,0.2,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LR,Little River,45.272416,-66.022299,UNKWN,,,,,River/Stream,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Pyrene,,Extractable,0.2,mg/kg,Calculated,,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-08,,,RPC,
ACAP Saint John: Sediment PAHs,LRN,Little River Nearshore,45.262617,-66.028878,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,LRN,Little River Nearshore,45.262617,-66.028878,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,LRN,Little River Nearshore,45.262617,-66.028878,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthylene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,LRN,Little River Nearshore,45.262617,-66.028878,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Acenaphthylene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,LRN,Little River Nearshore,45.262617,-66.028878,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Anthracene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,LRN,Little River Nearshore,45.262617,-66.028878,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Anthracene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,LRN,Little River Nearshore,45.262617,-66.028878,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benz[a]anthracene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PH,2018-11-07,,,RPC,
ACAP Saint John: Sediment PAHs,LRN,Little River Nearshore,45.262617,-66.028878,UNKWN,,,,,Estuary,Sample-Routine,Subsurface Soil/Sediment,2018-09-27,,,,,,,Benz[a]anthracene,,Extractable,,,Calculated,Below Detection/Quantification Limit,0.01,mg/kg,Reporting Limit,,,,,Sediment PAH,2018-11-07,,,RPC,
